,race_id,driver_id,constructor_id,grid_position,race_points_scored,race_laps_completed,status_id,year,round,circuit_id,driver_nationality,constructor_nationality,driver_season_points,driver_season_position,driver_season_wins,constructor_season_points,constructor_season_position,constructor_season_wins,q1_time,q2_time,q3_time,final_position
161,25,22,11,20,0.0,69,11,2008,8,8,7,15,5.0,15.0,0.0,8.0,8.0,0.0,76330.0,76330.0,76330.0,14.0
162,25,6,3,15,0.0,69,11,2008,8,8,24,5,7.0,11.0,0.0,15.0,6.0,0.0,76243.0,76243.0,76243.0,15.0
163,25,3,3,19,0.0,69,11,2008,8,8,18,5,8.0,10.0,0.0,15.0,6.0,0.0,76085.0,76235.0,76235.0,16.0
164,25,7,5,14,0.0,69,11,2008,8,8,17,14,2.0,18.0,0.0,7.0,9.0,0.0,76072.0,76045.0,76045.0,17.0
165,25,21,10,17,0.0,69,11,2008,8,8,23,12,0.0,19.0,0.0,0.0,10.0,0.0,76971.0,76971.0,76971.0,18.0
166,25,16,10,18,0.0,69,11,2008,8,8,18,12,0.0,22.0,0.0,0.0,10.0,0.0,77053.0,77053.0,77053.0,19.0
167,25,18,11,16,0.0,16,4,2008,8,8,8,15,3.0,16.0,0.0,8.0,8.0,0.0,76306.0,76306.0,76306.0,34.0
168,26,1,1,4,10.0,60,1,2008,9,9,8,5,48.0,1.0,3.0,72.0,3.0,3.0,80288.0,79537.0,81835.0,1.0
169,26,2,2,5,8.0,60,1,2008,9,9,18,10,36.0,5.0,0.0,82.0,2.0,1.0,81022.0,79802.0,81873.0,2.0
170,26,22,11,16,6.0,60,1,2008,9,9,7,15,11.0,10.0,0.0,14.0,8.0,0.0,81512.0,81512.0,81512.0,3.0
171,26,8,6,3,5.0,59,11,2008,9,9,16,14,48.0,3.0,2.0,96.0,1.0,5.0,80370.0,79971.0,81706.0,4.0
172,26,5,1,1,4.0,59,11,2008,9,9,16,5,24.0,6.0,0.0,72.0,3.0,3.0,79957.0,79597.0,81049.0,5.0
173,26,4,4,6,3.0,59,11,2008,9,9,35,9,13.0,9.0,0.0,15.0,7.0,0.0,80998.0,79992.0,82029.0,6.0
174,26,15,7,14,2.0,59,11,2008,9,9,23,15,20.0,7.0,0.0,25.0,4.0,0.0,81145.0,80601.0,80601.0,7.0
175,26,6,3,15,1.0,59,11,2008,9,9,24,5,8.0,12.0,0.0,16.0,6.0,0.0,81407.0,81112.0,81112.0,8.0
176,26,3,3,20,0.0,59,11,2008,9,9,18,5,8.0,11.0,0.0,16.0,6.0,0.0,81668.0,81668.0,81668.0,9.0
